Airport,POS1Lon,POS1Lat,POS13Lon,POS13Lat,POS2Lon,POS2Lat,POS3Lon,POS3Lat,POS4Lon,POS4Lat,POS5Lon,POS5Lat,POS6Lon,POS6Lat,POS7Lon,POS7Lat,POS8Lon,POS8Lat,POS9Lon,POS9Lat,POS10Lon,POS10Lat,POS11Lon,POS11Lat,POS12Lon,POS12Lat
克拉玛依,29529663.0851088,6315549.306190671,29529663.0851088,6315549.306190671,29522237.65037599,6319952.888939539,29514813.329402696,6312875.179827353,29503303.73850291,6311301.301209509,29500705.33753821,6309570.384587856,29499220.696095455,6302799.3972671,29489010.86255778,6297599.910923146,29496807.1792114,6293501.583876396,29504232.613944214,6300279.432431184,29515741.091084477,6301854.255244766,29518339.49204918,6303271.93178528,29519268.367490478,6310357.033578094
兰州/中川,31594202.356875423,7131616.35674434,31594202.356875423,7131616.35674434,31585477.164780498,7131906.191686178,31586220.042381637,7124505.653819737,31579723.483090125,7119424.309596691,31579537.485249966,7116518.899168832,31585292.280699857,7110852.305188546,31582878.763815798,7103729.23169069,31591974.83783153,7103437.791637326,31590861.078309588,7110852.305188546,31597357.637601092,7115938.423603901,31597357.637601092,7118843.113717977,31591788.83999137,7124505.653819737
兴义/万峰林,31748642.934745554,8086426.212686207,31748642.934745554,8086426.212686207,31741218.613772262,8088449.23145003,31738619.09904804,8081705.107435639,31731194.77807475,8078331.569695821,31729709.022872474,8076712.146896439,31731751.657835722,8070773.119520455,31726553.742146805,8064831.05432563,31733979.176879615,8062805.0238125725,31736577.577844314,8069557.989083539,31744373.894497935,8072662.867205984,31745301.656179715,8074552.389682634,31743446.13281615,8080490.813392099
加格达奇/嘎仙,33881121.53735086,5845499.957507556,33881121.53735086,5845499.957507556,33869613.0602106,5846660.706086585,33869613.0602106,5837863.509933138,33860516.98619487,5832879.70726265,33860330.988354705,5830553.256106028,33866271.78164476,5824233.792829562,33861630.74571682,5815745.8345296215,33873325.22069725,5815080.415814751,33873139.22285708,5823402.351446954,33882235.29687281,5828890.541778048,33882792.17663379,5830718.811368733,33876480.50142292,5837531.680233443
包头,32319630.687582918,6765897.613396254,32319630.687582918,6765897.613396254,32313875.892133024,6770550.835165458,32305151.813797623,6764846.358793979,32294571.098339137,6764546.366468942,32291786.699534275,6763044.469991971,32288445.420968436,6756585.677202532,32277864.705509953,6752527.676878773,32283619.500959847,6747866.186297568,32292157.58145508,6753579.305721033,32302924.29475373,6753880.524075679,32305894.691398762,6755533.458363544,32309049.972124435,6761993.821395094
北京/首都,33026125.106417336,6788991.523668337,33026125.106417336,6788991.523668337,33035592.062353875,6788241.951935645,33035221.180433065,6795729.810818632,33042831.499246523,6800668.405865573,33043574.376847662,6803958.883664006,33038191.577078093,6809790.473227968,33041532.855643936,6816963.276863189,33032065.899707396,6817710.754044278,33032436.7816282,6810238.920001072,33024826.46281475,6805304.928972216,33024269.58305377,6802313.776650248,33029466.38498317,6796178.872345424
北海/福成,32220135.208208937,8347246.960472292,32220135.208208937,8347246.960472292,32228116.4089432,8348043.898394529,32224590.24629672,8354684.228402865,32228302.406783365,8360126.803625607,32227374.645101584,8362382.853174893,32221248.967730884,8366231.754080573,32220692.08796991,8373262.645031245,32212709.773476124,8372068.863453596,32216421.93396277,8365833.6840806035,32212709.773476124,8360392.001348222,32213080.655396935,8357870.477267206,32219578.328447964,8353887.579692832
十堰/武当山,32418198.405275114,7460829.877976605,32418198.405275114,7460829.877976605,32412815.605505552,7465061.127806691,32405576.168612905,7459560.222006507,32395737.216996036,7459136.974498716,32393324.813871503,7457867.145379417,32390911.296987448,7451516.048767498,32381630.338891074,7447845.323795787,32387013.138660632,7443608.191540991,32394623.45747409,7449116.18034834,32404090.41341063,7449398.292795332,32406874.812215492,7450810.452725988,32408731.449338578,7457161.910822933
南京/禄口,33302152.58377924,7518534.003108906,33302152.58377924,7518534.003108906,33306235.62618669,7523026.309985802,33296026.906408537,7525973.706349469,33292313.63216237,7531866.448891554,33288787.46951589,7533269.361129306,33279320.513579354,7532848.587844806,33270781.31932459,7537476.329840741,33266140.283396646,7532988.286117036,33276350.11693432,7530042.515951978,33280248.27526113,7524148.927622813,33283589.553826973,7522745.850616563,33293613.389524482,7523166.958446768
南宁/吴圩,32107273.500812083,8264039.0537089445,32107273.500812083,8264039.0537089445,32112657.414341174,8267908.314624151,32104304.217926577,8272044.026364274,32102447.580803495,8277645.331040146,32099663.181998633,8279245.375713517,32090753.105823062,8280178.1345893545,32084441.4306122,8285377.000204647,32079244.6286828,8281777.948941297,32087782.709178034,8277645.331040146,32089453.348460954,8271776.719391713,32091680.867504843,8270175.993477527,32100590.943680413,8269642.919263126
南昌/昌北,32960785.290302865,7752877.336981109,32960785.290302865,7752877.336981109,32968395.609116323,7754946.434005298,32962455.929585785,7761151.869132012,32964497.45078951,7767079.188312077,32963012.809346758,7769421.464944417,32954844.49701281,7772590.723507674,32952432.093888275,7779476.457161802,32944820.661315296,7777548.992688675,32950204.574844383,7771488.095172757,32948161.93988113,7765425.384252812,32949647.69508341,7762944.308736572,32958000.891498,7759911.004539082
